run_id,tag,question_count_expected,question_count_observed,request_count_observed,answer_completeness_mean,groundedness_mean,answer_relevance_mean,generation_context_strict_recall_at_4_mean,generation_context_ndcg_at_4_mean,missing_question_ids,is_partial_coverage
05047884-3dc0-463b-a01e-2e3bed54589d,causal,7,7,7,0.2857,0.7857,0.9286,1.0000,0.8603,,false
05047884-3dc0-463b-a01e-2e3bed54589d,contrast,9,9,9,0.6667,0.7778,1.0000,0.9444,0.8193,,false
05047884-3dc0-463b-a01e-2e3bed54589d,failure,11,10,10,0.2000,0.8500,0.9500,1.0000,0.8265,q20_exactly_once_processing_is_an_illusion,true
05047884-3dc0-463b-a01e-2e3bed54589d,tradeoff,8,7,7,0.3571,0.8571,0.9286,1.0000,0.9110,q20_exactly_once_processing_is_an_illusion,true
1bc4a880-48a1-4a41-957f-d531cbdde2f9,causal,7,7,7,0.4286,0.7857,0.8571,1.0000,0.8186,,false
1bc4a880-48a1-4a41-957f-d531cbdde2f9,contrast,9,9,9,0.8333,0.8889,1.0000,1.0000,0.7719,,false
1bc4a880-48a1-4a41-957f-d531cbdde2f9,failure,11,11,11,0.4545,0.9091,0.9091,1.0000,0.7590,,false
1bc4a880-48a1-4a41-957f-d531cbdde2f9,tradeoff,8,8,8,0.7500,1.0000,1.0000,1.0000,0.7568,,false
2f725ce8-aed5-4ded-9143-dbf25a738b94,causal,7,6,6,0.5833,0.8333,1.0000,0.9167,0.8224,q11_lamport_vs_vector_clocks,true
2f725ce8-aed5-4ded-9143-dbf25a738b94,contrast,9,8,8,0.6250,0.7500,0.9375,0.9375,0.7406,q11_lamport_vs_vector_clocks,true
2f725ce8-aed5-4ded-9143-dbf25a738b94,failure,11,10,10,0.4500,0.8500,0.9000,1.0000,0.7959,q07_dns_ttl_tradeoff_and_stale_entries,true
2f725ce8-aed5-4ded-9143-dbf25a738b94,tradeoff,8,7,7,0.6429,0.8571,1.0000,0.9286,0.8106,q07_dns_ttl_tradeoff_and_stale_entries,true
9231451d-7e23-48e8-95c9-97a7a28f9189,causal,7,7,7,0.1429,0.8571,0.9286,1.0000,0.8378,,false
9231451d-7e23-48e8-95c9-97a7a28f9189,contrast,9,9,9,0.5556,0.8333,1.0000,0.9444,0.8286,,false
9231451d-7e23-48e8-95c9-97a7a28f9189,failure,11,11,11,0.2727,0.9545,0.9091,1.0000,0.8261,,false
9231451d-7e23-48e8-95c9-97a7a28f9189,tradeoff,8,8,8,0.6250,0.8750,0.9375,1.0000,0.8999,,false
e1b43ff2-91b9-49ad-aa7a-e9c4383c589d,causal,7,6,6,0.7500,1.0000,1.0000,1.0000,0.8632,q11_lamport_vs_vector_clocks,true
e1b43ff2-91b9-49ad-aa7a-e9c4383c589d,contrast,9,8,8,0.6875,0.8125,0.9375,0.9375,0.7945,q11_lamport_vs_vector_clocks,true
e1b43ff2-91b9-49ad-aa7a-e9c4383c589d,failure,11,11,11,0.6364,1.0000,0.9545,1.0000,0.8315,,false
e1b43ff2-91b9-49ad-aa7a-e9c4383c589d,tradeoff,8,8,8,0.6250,0.8750,1.0000,1.0000,0.8545,,false
f8972737-1bb2-4cad-adb9-2a730f0101b3,causal,7,7,7,0.4286,0.7857,1.0000,1.0000,0.8403,,false
f8972737-1bb2-4cad-adb9-2a730f0101b3,contrast,9,9,9,0.7778,0.7778,0.9444,1.0000,0.7866,,false
f8972737-1bb2-4cad-adb9-2a730f0101b3,failure,11,11,11,0.5455,1.0000,0.9545,1.0000,0.8005,,false
f8972737-1bb2-4cad-adb9-2a730f0101b3,tradeoff,8,8,8,0.6250,0.9375,0.8750,1.0000,0.8234,,false
