run_id,request_id,question_id,question_text,tags,answer_completeness_score,groundedness_score,answer_relevance_score,generation_context_strict_recall_at_4,generation_context_ndcg_at_4
2912cd07-b245-4479-a619-b0c745ff64b5,271348da-81af-45a1-bce7-d4362f24c4e2,q01_tcp_reliable_over_ip,"Why is TCP considered a transport layer that creates a reliable channel on top of unreliable IP, and what mechanisms does it use to compensate for packet loss, duplication, corruption, and out-of-order delivery?","causal,failure",1.0000,1.0000,1.0000,1.0000,0.8973
2912cd07-b245-4479-a619-b0c745ff64b5,7b130b4c-3347-4ff6-a6b2-d7f03e51302b,q02_connection_setup_reuse_cost,"Why are opening new network connections expensive, why does geographic proximity reduce this penalty, and why do systems try to reuse connections instead of recreating them repeatedly?","causal,tradeoff",1.0000,1.0000,1.0000,1.0000,0.8973
2912cd07-b245-4479-a619-b0c745ff64b5,e6d512cf-1831-4ee8-b69a-8b5b908cd5ac,q03_flow_vs_congestion_control,"What is the difference between flow control and congestion control in TCP, and what type of overload is each mechanism designed to prevent?",contrast,1.0000,1.0000,1.0000,1.0000,0.7780
2912cd07-b245-4479-a619-b0c745ff64b5,69f6436f-5e94-4318-b46d-31d2c5ea0ab3,q04_udp_for_realtime_protocols,"Why can UDP be a better foundation than TCP for real-time protocols such as multiplayer games, even though UDP does not provide reliability, ordering, or congestion-control guarantees?","contrast,tradeoff",1.0000,1.0000,1.0000,1.0000,1.0000
2912cd07-b245-4479-a619-b0c745ff64b5,70789623-cd8e-4786-9a2c-de1092897d68,q05_tls_authentication_certificate_chain,"How does TLS authenticate a server, what role does the certificate chain play, and why can an expired certificate bring an application down?","causal,failure",0.0000,0.0000,0.0000,1.0000,0.8229
2912cd07-b245-4479-a619-b0c745ff64b5,a480b156-f0ea-4c37-bc36-8b83e02d4220,q06_tls_integrity_hmac_vs_tcp_checksum,"Why does TLS still verify message integrity with an HMAC even though TCP already includes a checksum, and what kinds of problems does this extra protection address?","causal,failure",1.0000,1.0000,1.0000,1.0000,1.0000
2912cd07-b245-4479-a619-b0c745ff64b5,c4252e59-d9e7-443f-8718-3d4b56b0a4dc,q07_dns_ttl_tradeoff_and_stale_entries,"How does DNS resolution work, why does the TTL create a trade-off between fast propagation and lower lookup load, and why can serving stale records be more robust than serving no records at all?","tradeoff,failure",0.0000,0.0000,0.0000,1.0000,0.7019
2912cd07-b245-4479-a619-b0c745ff64b5,642b29a1-9a4d-4e1c-ba9a-1d676b20567c,q08_http_versions_head_of_line_blocking,"Why does HTTP 1.1 suffer from head-of-line blocking, and how do HTTP 2 and HTTP 3 improve throughput and reduce the impact of packet loss?","contrast,failure",1.0000,1.0000,1.0000,1.0000,0.7387
2912cd07-b245-4479-a619-b0c745ff64b5,3398b60a-81ad-4aed-8149-ed3183a7e269,q09_idempotency_keys_and_atomicity,"Why can retrying a POST request after a timeout create an inconsistent system state, and how do idempotency keys together with transactional atomicity solve this problem?",failure,0.0000,0.0000,0.0000,1.0000,0.8229
2912cd07-b245-4479-a619-b0c745ff64b5,09ddda5c-a085-4500-99c9-7094503613b6,q10_partial_synchrony_realism,Why is the partially synchronous model usually a better fit for real distributed systems than either the strictly synchronous model or the fully asynchronous one?,"causal,contrast",1.0000,1.0000,1.0000,1.0000,0.5615
