run_id,request_id,question_id,question_text,tags,answer_completeness_score,groundedness_score,answer_relevance_score,generation_context_strict_recall_at_4,generation_context_ndcg_at_4
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,a8599783-be7d-46a9-94e3-a8edaabfbea5,q01_tcp_reliable_over_ip,"Why is TCP considered a transport layer that creates a reliable channel on top of unreliable IP, and what mechanisms does it use to compensate for packet loss, duplication, corruption, and out-of-order delivery?","causal,failure",1.0000,1.0000,1.0000,1.0000,0.8660
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,ab3c7f4a-4af5-4cc7-bb78-1c74e71b3a3b,q02_connection_setup_reuse_cost,"Why are opening new network connections expensive, why does geographic proximity reduce this penalty, and why do systems try to reuse connections instead of recreating them repeatedly?","causal,tradeoff",0.0000,0.0000,0.0000,1.0000,0.7780
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,ba51ae74-5058-4dca-b29c-e5fdc8c47181,q03_flow_vs_congestion_control,"What is the difference between flow control and congestion control in TCP, and what type of overload is each mechanism designed to prevent?",contrast,1.0000,1.0000,1.0000,1.0000,0.7780
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,1a558979-66b3-49a7-b822-cec969a2c19e,q04_udp_for_realtime_protocols,"Why can UDP be a better foundation than TCP for real-time protocols such as multiplayer games, even though UDP does not provide reliability, ordering, or congestion-control guarantees?","contrast,tradeoff",1.0000,1.0000,1.0000,1.0000,0.7387
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,5248033a-9009-4e3f-901c-d97375bc67a9,q05_tls_authentication_certificate_chain,"How does TLS authenticate a server, what role does the certificate chain play, and why can an expired certificate bring an application down?","causal,failure",0.0000,0.0000,0.0000,1.0000,0.7387
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,6297aa70-d584-4051-bdf6-ada80bd4f0cc,q06_tls_integrity_hmac_vs_tcp_checksum,"Why does TLS still verify message integrity with an HMAC even though TCP already includes a checksum, and what kinds of problems does this extra protection address?","causal,failure",1.0000,1.0000,1.0000,1.0000,1.0000
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,ca272718-0509-4024-9e6d-0fd0dac21140,q07_dns_ttl_tradeoff_and_stale_entries,"How does DNS resolution work, why does the TTL create a trade-off between fast propagation and lower lookup load, and why can serving stale records be more robust than serving no records at all?","tradeoff,failure",1.0000,1.0000,1.0000,1.0000,0.8229
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,e2bdb1ac-85fc-43f1-9cad-4c017c80cb43,q08_http_versions_head_of_line_blocking,"Why does HTTP 1.1 suffer from head-of-line blocking, and how do HTTP 2 and HTTP 3 improve throughput and reduce the impact of packet loss?","contrast,failure",1.0000,1.0000,1.0000,1.0000,0.5615
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,60a8173a-ec80-41a5-acd1-7c5b4b39eff3,q09_idempotency_keys_and_atomicity,"Why can retrying a POST request after a timeout create an inconsistent system state, and how do idempotency keys together with transactional atomicity solve this problem?",failure,1.0000,1.0000,1.0000,1.0000,0.7019
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,6e94ca5c-79f0-45d6-b2ff-03c8831633b3,q11_lamport_vs_vector_clocks,"Why are Lamport logical clocks not sufficient to capture causality precisely, and how do vector clocks improve on them?","causal,contrast",1.0000,1.0000,1.0000,1.0000,1.0000
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,2de6aa88-ded1-46a0-9544-e2abe87e0f53,q12_raft_leader_election,"How does Raft elect a leader, and why are randomized timeouts and periodic heartbeats important for preventing split votes and detecting failed leaders?","causal,failure",1.0000,1.0000,1.0000,1.0000,1.0000
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,246e4739-4392-4371-91c2-ea83e6dd33c5,q13_consistency_tradeoffs_and_cap,"Why does allowing clients to read from any follower improve availability but weaken consistency, and how does the CAP theorem frame the choice during a network partition?","tradeoff,failure",1.0000,1.0000,1.0000,1.0000,1.0000
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,cc2bc67f-dd85-47d4-a933-21097714c3ea,q14_causal_vs_eventual_consistency,"Why is eventual consistency not always enough for applications with causally related operations, and how does causal consistency strengthen the guarantees without requiring full strong consistency?","contrast,tradeoff",1.0000,1.0000,1.0000,1.0000,0.8596
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,91b04328-1978-4ae7-9670-a4a62ccfc18a,q15_isolation_atomicity_and_2pc,"What is the difference between isolation and atomicity in transactions, and why is two-phase commit needed when atomicity must be coordinated across multiple processes?",contrast,1.0000,1.0000,1.0000,1.0000,0.6825
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,6334d923-e121-4078-b254-a9a0a6c39de8,q16_outbox_pattern_dual_writes,"Why can dual writes to a primary database and a secondary system such as a search index leave the system in an inconsistent state, and how does the outbox pattern address this problem?",failure,1.0000,1.0000,1.0000,1.0000,0.5615
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,f0b2ef5e-2596-445a-bc3f-d0eaebd93b00,q17_sagas_and_lack_of_isolation,"How do sagas use compensating transactions to preserve atomicity across services, and why do they still sacrifice the isolation guarantees of traditional ACID transactions?","tradeoff,failure",1.0000,1.0000,1.0000,1.0000,0.7780
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,abe5852a-393e-4ca2-b353-e6028ab2bca6,q18_range_vs_hash_partitioning,"What trade-offs separate range partitioning from hash partitioning, and why can each approach still suffer from hotspots under certain access patterns?","contrast,tradeoff",1.0000,1.0000,1.0000,1.0000,0.8973
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,73eb29ad-36c2-48fd-9071-a78ef6b22a97,q19_l4_vs_l7_load_balancing,"What is the difference between transport-layer and application-layer load balancing, and what extra capabilities does an L7 load balancer gain by understanding HTTP traffic?",contrast,1.0000,1.0000,1.0000,1.0000,1.0000
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,27a4a77e-e571-4bf8-9061-bba151c56b6e,q20_exactly_once_processing_is_an_illusion,"Why is exactly-once message delivery impossible in practice, and how can a consumer approximate exactly-once processing with idempotent handling and careful delete timing?","failure,tradeoff",1.0000,1.0000,1.0000,1.0000,0.8596
4890ab41-d02c-4bd2-86f9-4fdf5b6729dc,cdc89a81-f13e-444e-8349-92ae3361edb7,q10_partial_synchrony_realism,Why is the partially synchronous model usually a better fit for real distributed systems than either the strictly synchronous model or the fully asynchronous one?,"causal,contrast",1.0000,1.0000,1.0000,1.0000,0.5615
