run_id,request_id,question_id,question_text,tags,answer_completeness_score,groundedness_score,answer_relevance_score,generation_context_strict_recall_at_4,generation_context_ndcg_at_4
a2ecf5fd-3264-4570-8b4d-fee01d3e928b,c62c04a0-fdc7-49c2-899d-4e018b34e604,q01_tcp_reliable_over_ip,"Why is TCP considered a transport layer that creates a reliable channel on top of unreliable IP, and what mechanisms does it use to compensate for packet loss, duplication, corruption, and out-of-order delivery?","causal,failure",1.0000,1.0000,1.0000,1.0000,0.8973
a2ecf5fd-3264-4570-8b4d-fee01d3e928b,9dc2f21e-d5b7-4393-aa03-f8b610dbfc94,q02_connection_setup_reuse_cost,"Why are opening new network connections expensive, why does geographic proximity reduce this penalty, and why do systems try to reuse connections instead of recreating them repeatedly?","causal,tradeoff",0.0000,0.0000,0.0000,0.5000,0.5963
a2ecf5fd-3264-4570-8b4d-fee01d3e928b,3380c567-16c9-4a4d-a963-f821cec6b507,q03_flow_vs_congestion_control,"What is the difference between flow control and congestion control in TCP, and what type of overload is each mechanism designed to prevent?",contrast,1.0000,1.0000,1.0000,1.0000,0.7780
a2ecf5fd-3264-4570-8b4d-fee01d3e928b,f18702f7-8fa5-43c0-86f7-3eda023d07b8,q04_udp_for_realtime_protocols,"Why can UDP be a better foundation than TCP for real-time protocols such as multiplayer games, even though UDP does not provide reliability, ordering, or congestion-control guarantees?","contrast,tradeoff",1.0000,1.0000,1.0000,1.0000,0.8229
a2ecf5fd-3264-4570-8b4d-fee01d3e928b,2eb00bb6-3273-4e02-98bb-adf1d412fa8d,q05_tls_authentication_certificate_chain,"How does TLS authenticate a server, what role does the certificate chain play, and why can an expired certificate bring an application down?","causal,failure",1.0000,1.0000,1.0000,1.0000,1.0000
a2ecf5fd-3264-4570-8b4d-fee01d3e928b,008ee95c-adf5-48a9-a46c-20bedfca6a07,q06_tls_integrity_hmac_vs_tcp_checksum,"Why does TLS still verify message integrity with an HMAC even though TCP already includes a checksum, and what kinds of problems does this extra protection address?","causal,failure",1.0000,1.0000,1.0000,1.0000,1.0000
a2ecf5fd-3264-4570-8b4d-fee01d3e928b,8f9724de-ec47-4cce-8517-e9b1a93e85d9,q07_dns_ttl_tradeoff_and_stale_entries,"How does DNS resolution work, why does the TTL create a trade-off between fast propagation and lower lookup load, and why can serving stale records be more robust than serving no records at all?","tradeoff,failure",0.0000,1.0000,0.0000,1.0000,0.8791
a2ecf5fd-3264-4570-8b4d-fee01d3e928b,45d5f91c-8f0f-4782-86c5-189c1e50bb81,q08_http_versions_head_of_line_blocking,"Why does HTTP 1.1 suffer from head-of-line blocking, and how do HTTP 2 and HTTP 3 improve throughput and reduce the impact of packet loss?","contrast,failure",1.0000,1.0000,1.0000,1.0000,0.5615
a2ecf5fd-3264-4570-8b4d-fee01d3e928b,6600bd91-b15e-496c-a2a8-5f222f60be19,q09_idempotency_keys_and_atomicity,"Why can retrying a POST request after a timeout create an inconsistent system state, and how do idempotency keys together with transactional atomicity solve this problem?",failure,0.0000,0.0000,1.0000,1.0000,0.5615
a2ecf5fd-3264-4570-8b4d-fee01d3e928b,a9962b57-1528-4718-b709-48e57d255a6b,q10_partial_synchrony_realism,Why is the partially synchronous model usually a better fit for real distributed systems than either the strictly synchronous model or the fully asynchronous one?,"causal,contrast",1.0000,1.0000,1.0000,1.0000,0.5615
